"question","optionA","optionB","optionC","optionD","answer","explanation"
"Who founded the Imagination Library to promote children's literacy?","Dolly Parton","Oprah Winfrey","Taylor Swift","J.K. Rowling","A","Dolly Parton established the Imagination Library to provide books to children." 
"Who hosted a long-running children's TV show emphasizing kindness and respect?","Fred Rogers","Mr. Bean","SpongeBob SquarePants","Mister Maker","A","Fred Rogers is famous for 'Mister Rogers' Neighborhood' and its respectful tone." 
"Which actor is frequently praised for humble behavior and generous gestures toward crew and fans?","Tom Cruise","Keanu Reeves","Leonardo DiCaprio","Brad Pitt","B","Keanu Reeves is widely described as humble and generous in many reports." 
"Which former First Lady is known for respectful public demeanor and advocacy for education and healthy families?","Hillary Clinton","Michelle Obama","Laura Bush","Eleanor Roosevelt","B","Michelle Obama is noted for her respectful public presence and advocacy work." 
"Which actor portrayed Fred Rogers in the film 'A Beautiful Day in the Neighborhood'?","Morgan Freeman","Tom Hanks","Paul Giamatti","Mark Ruffalo","B","Tom Hanks played Fred Rogers in that 2019 film." 
"Who created the Broadway musical 'Hamilton' and is known for collaboration and graciousness with colleagues?","Stephen Sondheim","Lin-Manuel Miranda","Andrew Lloyd Webber","Benj Pasek","B","Lin-Manuel Miranda wrote and starred in 'Hamilton' and is known for his collaborative spirit." 
"Which actress served as a UN Women Goodwill Ambassador and speaks respectfully about gender equality?","Angelina Jolie","Emma Watson","Natalie Portman","Scarlett Johansson","B","Emma Watson served as a UN Women Goodwill Ambassador and advocates for gender equality." 
"Which actor, known for his role in 'Ant-Man', is often described as warm and down-to-earth?","Chris Evans","Paul Rudd","Mark Ruffalo","Jeremy Renner","B","Paul Rudd is frequently praised for his approachable, friendly demeanor." 
"Which celebrity couple includes a comedian-actor famous for witty, respectful social media and frequent fan engagement?","Justin Bieber & Hailey Bieber","Ryan Reynolds & Blake Lively","Beyoncé & Jay-Z","Kanye West & Bianca Censori","B","Ryan Reynolds is known for humorous, respectful online engagement and is married to Blake Lively." 
"Which former professional wrestler turned actor is known for energetic generosity and uplifting interactions with fans?","John Cena","Stone Cold Steve Austin","Dwayne Johnson","Hulk Hogan","C","Dwayne 'The Rock' Johnson is noted for positive fan interactions and generous acts." 
"Which singer-songwriter is well-known for thoughtful gestures to fans and notable charitable donations?","Adele","Taylor Swift","Beyoncé","Ariana Grande","B","Taylor Swift is recognized for acts of generosity and close fan engagement." 
"Which actress is frequently described in media as down-to-earth and kind in interviews and public life?","Scarlett Johansson","Jennifer Garner","Nicole Kidman","Charlize Theron","B","Jennifer Garner is often described as warm and down-to-earth by interviews and reports." 
"Which media mogul created a leadership academy for girls and is known for large-scale philanthropy?","Ellen DeGeneres","Oprah Winfrey","Conan O'Brien","Tyra Banks","B","Oprah Winfrey founded a leadership academy and is known for major philanthropic work." 
"Which naturalist and broadcaster is known for respectful, thoughtful communication about nature?","David Attenborough","Steve Irwin","Bear Grylls","Jeff Corwin","A","Sir David Attenborough is revered for his considerate, educational approach to nature documentaries." 
"Which actor and producer is known for warmth, generosity, and high praise from colleagues on set?","George Clooney","Tom Hanks","Robert Downey Jr.","Harrison Ford","B","Tom Hanks is widely respected for his professionalism and kindness toward peers."
